original_smiles,rationale_smiles,score
C=12C(=NC=NC1C=C(C(=C2)OCCOC)OCCOC)NC=3C=C(C#C)C=CC3,COc1cc2ncnc(Nc3ccccc3)c2cc1O,0.55
C=12C(=NC=NC1C=C(C(=C2)OCCOC)OCCOC)NC=3C=C(C#C)C=CC3,COc1cc2c(Nc3ccccc3)ncnc2cc1O,0.55
O1C(=NN=C1SCC2=CC(Cl)=CC=C2)C=3C=CN=CC3,c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,0.9
C1(=CN=C2NN=C(C2=C1)NC(CCC)=O)C3=CC=C4C(=C3)C=CC=C4,CCC(=O)Nc1n[nH]c2ncc(-c3ccccc3)cc12,0.95
C1(=CN=C2NN=C(C2=C1)NC(CCC)=O)C3=CC=C4C(=C3)C=CC=C4,CC(=O)Nc1n[nH]c2ncc(-c3ccccc3)cc12,0.96
C1(=CN=C2NN=C(C2=C1)NC(CCC)=O)C3=CC=C4C(=C3)C=CC=C4,CCNc1n[nH]c2ncc(-c3ccccc3)cc12,0.79
C1(=CN=C2NN=C(C2=C1)NC(CCC)=O)C3=CC=C4C(=C3)C=CC=C4,CNc1n[nH]c2ncc(-c3ccccc3)cc12,0.8
C1(=CN=C2NN=C(C2=C1)NC(CCC)=O)C3=CC=C4C(=C3)C=CC=C4,Nc1n[nH]c2ncc(-c3ccccc3)cc12,0.88
C1(=CN=C2NN=C(C2=C1)NC(CCC)=O)C3=CC=C4C(=C3)C=CC=C4,O=CNc1n[nH]c2ncc(-c3ccccc3)cc12,0.78
C1(=CN=C2NN=C(C2=C1)NC(CCC)=O)C3=CC=C4C(=C3)C=CC=C4,CCCCNc1n[nH]c2ncc(-c3ccccc3)cc12,0.78
C1(=CN=C2NN=C(C2=C1)NC(CCC)=O)C3=CC=C4C(=C3)C=CC=C4,CCCNc1n[nH]c2ncc(-c3ccccc3)cc12,0.78
C1(=CN=C2NN=C(C2=C1)NC(CCC)=O)C3=CC=C4C(=C3)C=CC=C4,Nc1n[nH]c2ncc(-c3ccc4ccccc4c3)cc12,0.79
ClC1=NC(N)=CC(C=2C=3C(NC2)=NC=CC3)=C1,Clc1cc(-c2c[nH]c3ncccc23)ccn1,0.92
ClC1=NC(N)=CC(C=2C=3C(NC2)=NC=CC3)=C1,Nc1cc(-c2c[nH]c3ncccc23)ccn1,0.87
O1CCN(CCCNC=2N=C(NC=3C=CC=CC3)C(N(=O)=O)=C(N2)N)CC1,CCNc1nc(N)c([N+](=O)[O-])c(Nc2ccccc2)n1,0.84
O1CCN(CCCNC=2N=C(NC=3C=CC=CC3)C(N(=O)=O)=C(N2)N)CC1,CNc1nc(N)c([N+](=O)[O-])c(Nc2ccccc2)n1,0.73
O1CCN(CCCNC=2N=C(NC=3C=CC=CC3)C(N(=O)=O)=C(N2)N)CC1,CNc1ncc([N+](=O)[O-])c(Nc2ccccc2)n1,0.53
O1CCN(CCCNC=2N=C(NC=3C=CC=CC3)C(N(=O)=O)=C(N2)N)CC1,CNc1ncc([NH3+])c(Nc2ccccc2)n1,0.51
O1CCN(CCCNC=2N=C(NC=3C=CC=CC3)C(N(=O)=O)=C(N2)N)CC1,NCCCNc1ncc([NH+]=O)c(Nc2ccccc2)n1,0.54
O1CCN(CCCNC=2N=C(NC=3C=CC=CC3)C(N(=O)=O)=C(N2)N)CC1,NCCCNc1ncc([NH3+])c(Nc2ccccc2)n1,0.6
O1CCN(CCCNC=2N=C(NC=3C=CC=CC3)C(N(=O)=O)=C(N2)N)CC1,CCCNc1ncc([N+](=O)[O-])c(Nc2ccccc2)n1,0.53
O1CCN(CCCNC=2N=C(NC=3C=CC=CC3)C(N(=O)=O)=C(N2)N)CC1,CCNc1ncc([N+](=O)[O-])c(Nc2ccccc2)n1,0.54
N1C=2N=CC=CC2C(C=3N=C(N=CC3)NC4CCC(N)CC4)=C1,CNc1nccc(-c2c[nH]c3ncccc23)n1,0.95
N1C=2N=CC=CC2C(C=3N=C(N=CC3)NC4CCC(N)CC4)=C1,Nc1nccc(-c2c[nH]c3ncccc23)n1,0.94
N1C=2N=CC=CC2C(C=3N=C(N=CC3)NC4CCC(N)CC4)=C1,NC1CCC(Nc2nccc(-c3cc[nH]c3)n2)CC1,0.74
N1C=2N=CC=CC2C(C=3N=C(N=CC3)NC4CCC(N)CC4)=C1,c1cc(-c2cc[nH]c2)nc(NC2CCCCC2)n1,0.66
O=C1NC(=O)C(=C1C=2C=3C(N(C2)C)=CC=CC3)C4=NN(CCCN(C)C)C5=NC=CC=C45,Cn1ccc(C2=C(c3ccn(C)n3)C(=O)NC2=O)c1,0.58
O=C1NC(=O)C(=C1C=2C=3C(N(C2)C)=CC=CC3)C4=NN(CCCN(C)C)C5=NC=CC=C45,CCn1ccc(C2=C(c3ccn(C)c3)C(=O)NC2=O)n1,0.53
O=C1CC(CC2=NC=3NN=C(C3C(C21)C4=CC=C(C=C4)C)C)(C)C,Cc1n[nH]c2c1C(c1ccccc1)C1CCCCC1=N2,0.58
O(CCCNC=1N=C(NC2CCCCC2)C(N(=O)=O)=C(N1)N)C,CCNc1nc(N)c([N+](=O)[O-])c(NC2CCCCC2)n1,0.85
O(CCCNC=1N=C(NC2CCCCC2)C(N(=O)=O)=C(N1)N)C,CNc1nc(N)c([N+](=O)[O-])c(NC2CCCCC2)n1,0.93
O(CCCNC=1N=C(NC2CCCCC2)C(N(=O)=O)=C(N1)N)C,CNc1nc(NCCCOC)nc(N)c1[N+](=O)[O-],0.72
O(CCCNC=1N=C(NC2CCCCC2)C(N(=O)=O)=C(N1)N)C,CNc1nc(NCCCO)nc(N)c1[N+](=O)[O-],0.62
O(CCCNC=1N=C(NC2CCCCC2)C(N(=O)=O)=C(N1)N)C,CCCNc1nc(N)c([N+](=O)[O-])c(NC)n1,0.63
O(CCCNC=1N=C(NC2CCCCC2)C(N(=O)=O)=C(N1)N)C,Nc1nc(N)c([N+](=O)[O-])c(NC2CCCCC2)n1,0.58
ClC1=NN=C2NC=3C(NC(=O)C2=C1)=CC=CC3,O=C1Nc2ccccc2Nc2nnccc21,0.55
FC=1C=C(C2C3C(=NC=4NN=C(C24)C)CC(CC3=O)(C)C)C=CC1,Cc1n[nH]c2c1C(c1ccccc1)C1CCCCC1=N2,0.58
C=1(C=CC2=C(N1)NN=C2NC(=O)C3CC3)C4=CC=CC=C4,CC(=O)Nc1n[nH]c2nc(-c3ccccc3)ccc12,0.69
C=1(C=CC2=C(N1)NN=C2NC(=O)C3CC3)C4=CC=CC=C4,Nc1n[nH]c2nc(-c3ccccc3)ccc12,0.51
O1C2=C3C4=C(C=C(O)C(O)=C4OC(=O)C3=CC(O)=C2O)C1=O,O=c1oc2c(O)c(O)cc3c(=O)oc4cccc1c4c23,0.51
C12=C(C=3C=C(Br)C=CC3N1)CC(=O)N(C=4C2=CC=CC4)COC(=O)C,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,1.0
C12=C(C=3C=C(Br)C=CC3N1)CC(=O)N(C=4C2=CC=CC4)COC(=O)C,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1,0.96
C12=C(C=3C=C(Br)C=CC3N1)CC(=O)N(C=4C2=CC=CC4)COC(=O)C,Brc1ccc2[nH]c3c(c2c1)CCNc1ccccc1-3,0.52
O=C(NC1=NNC2=NN=C(C=C12)C3=CC=CN=C3)C4CC4,CC(=O)Nc1n[nH]c2nnc(-c3cccnc3)cc12,0.73
O=C(NC1=NNC2=NN=C(C=C12)C3=CC=CN=C3)C4CC4,CCNc1n[nH]c2nnc(-c3cccnc3)cc12,0.58
O=C(NC1=NNC2=NN=C(C=C12)C3=CC=CN=C3)C4CC4,CNc1n[nH]c2nnc(-c3cccnc3)cc12,0.61
